name,gas-name,temperature,pressure,gas-critical-temperature,gas-critical-pressure,gas-acentric-factor,gas-molar-mass,target-value
DB0-m3_o16_o43_f0_fsc.sym.16,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.099924699
DB0-m3_o52_o13_f0_fsc.sym.4,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.099981852
DB0-m3_o158_o151_f0_fsc.sym.42,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.1000041
DB0-m3_o440_o158_f0_fsc.sym.53,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100007909
DB0-m3_o43_o155_f0_fsc.sym.37,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100071485
DB5-hypotheticalMOF_5074449_0_0_2_23_10_12,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100075077
DB0-m3_o153_o159_f0_fsc.sym.5,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.10011683
DB0-m3_o44_o158_f0_fsc.sym.38,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100137923
DB0-m3_o153_o13_f0_fsc.sym.7,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100322006
DB0-m3_o450_o158_f0_fsc.sym.95,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100404595
DB0-m3_o1520_o155_f0_fsc.sym.12,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100437372
DB0-m2_o42_o150_f0_fsc,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100498303
DB0-m3_o148_o159_f0_fsc.sym.2,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100600386
DB0-m3_o153_o159_f0_fsc.sym.61,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100622397
DB0-m3_o18_o145_f0_fsc,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100749592
DB0-m3_o25_o46_f0_fsc.sym.48,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.100829439
DB0-m3_o25_o490_f0_fsc.sym.23,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.10099269
DB0-m3_o155_o44_f0_fsc.sym.26,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.1416322
DB0-m3_o49_o13_f0_fsc.sym.13,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.141693588
DB0-m3_o4_o42_f0_fsc,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.141743838
